product,contract_role,symbol_or_contract,period,year,status,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,standard_path,registration_scope,root_cause_bucket,recommended_next_task
l,actual_contract,L2605F,15m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,383,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_15m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,383,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_15m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,1m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,5745,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_1m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,5745,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_1m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,30m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,200,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_30m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,200,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_30m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,5m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,1149,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_5m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,1149,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_5m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,60m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,117,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_60m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2605F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-12-26,2026-01-22,117,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_60m_20251229_20260122.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2606F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-26,2026-03-06,138,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_15m_20260227_20260306.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2606F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-26,2026-03-06,2070,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_1m_20260227_20260306.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2606F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-26,2026-03-06,72,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_30m_20260227_20260306.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2606F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-26,2026-03-06,414,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_5m_20260227_20260306.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2606F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-26,2026-03-06,42,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_60m_20260227_20260306.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2607F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-02,2026-02-10,138,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_15m_20260203_20260210.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2607F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-02,2026-02-10,2070,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_1m_20260203_20260210.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2607F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-02,2026-02-10,72,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_30m_20260203_20260210.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2607F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-02,2026-02-10,414,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_5m_20260203_20260210.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2607F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-02,2026-02-10,42,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_60m_20260203_20260210.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2608F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-06,2026-04-02,437,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_15m_20260309_20260402.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2608F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-06,2026-04-02,6555,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_1m_20260309_20260402.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2608F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-06,2026-04-02,228,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_30m_20260309_20260402.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2608F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-06,2026-04-02,1311,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_5m_20260309_20260402.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2608F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-06,2026-04-02,133,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_60m_20260309_20260402.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-31,2026-07-07,1471,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_15m_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,1d,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-04-01,2026-07-07,76,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_1d_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-31,2026-07-07,22065,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_1m_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-31,2026-07-07,768,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_30m_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-31,2026-07-07,4413,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_5m_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2609F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-03-31,2026-07-07,449,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_60m_20260401_20260707.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2602F,15m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-11-21,406,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_15m_20251029_20251121.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
