product,symbol_or_contract,period,year,metadata_row_count,duckdb_row_count,row_count_delta,distinct_datetime_count,duplicate_datetime_count,duckdb_min_datetime,duckdb_max_datetime,expected_start,expected_end,last_8_datetimes_desc,standard_path,read_error,root_cause_bucket
ad,ad.MAIN,1w,2025,47,55.0,8.0,55,0,2025-06-13T00:00:00,2026-07-03T00:00:00,2025-06-10,2025-12-31,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
ad,ad.MAIN,1w,2026,47,55.0,8.0,55,0,2025-06-13T00:00:00,2026-07-03T00:00:00,2026-01-01,2026-07-10,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
ec,ec.MAIN,1w,2023,134,148.0,14.0,148,0,2023-08-18T00:00:00,2026-07-03T00:00:00,2023-08-18,2023-12-31,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
ec,ec.MAIN,1w,2024,134,148.0,14.0,148,0,2023-08-18T00:00:00,2026-07-03T00:00:00,2024-01-01,2024-12-31,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
ec,ec.MAIN,1w,2025,134,148.0,14.0,148,0,2023-08-18T00:00:00,2026-07-03T00:00:00,2025-01-01,2025-12-31,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
ec,ec.MAIN,1w,2026,134,148.0,14.0,148,0,2023-08-18T00:00:00,2026-07-03T00:00:00,2026-01-01,2026-07-10,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
op,op.MAIN,1w,2025,36,42.0,6.0,42,0,2025-09-12T00:00:00,2026-07-03T00:00:00,2025-09-10,2025-12-31,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=op/contract=op.MAIN/op_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
op,op.MAIN,1w,2026,36,42.0,6.0,42,0,2025-09-12T00:00:00,2026-07-03T00:00:00,2026-01-01,2026-07-10,2026-07-03 00:00:00|2026-06-26 00:00:00|2026-06-18 00:00:00|2026-06-12 00:00:00|2026-06-05 00:00:00|2026-05-29 00:00:00|2026-05-22 00:00:00|2026-05-15 00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=op/contract=op.MAIN/op_MAIN_1w_20230103_20260707_v2.parquet,,metadata_row_count_stale_or_incomplete
