product,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,decision,current_market_data_file_id
a,A2005,1w,66733,rq_acb_a_A2005_1w_20200102_20200407_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20200102_20200407.parquet,2020-01-10T00:00:00+00:00,2020-04-03T00:00:00+00:00,2,keep_primary,66733
a,A2005,1w,79895,rq_acb_a_A2005_1w_20191205_20200102_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20191205_20200102.parquet,2019-12-13T00:00:00+00:00,2019-12-27T00:00:00+00:00,2,mark_superseded,66733
a,A2305,1d,41264,rq_acb_a_A2305_1d_20230103_20230406_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20230103_20230406.parquet,2023-01-03T00:00:00+00:00,2023-04-06T00:00:00+00:00,2,keep_primary,41264
a,A2305,1d,66779,rq_acb_a_A2305_1d_20221213_20221230_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20221213_20221230.parquet,2022-12-13T00:00:00+00:00,2022-12-30T00:00:00+00:00,2,mark_superseded,41264
a,A2609,15m,33600,rqdata_actual_contract_bars_a_A2609_15m_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,2026-03-31T21:15:00+00:00,2026-07-07T15:00:00+00:00,3,mark_superseded,45470
a,A2609,15m,33870,rq_acb_a_A2609_15m_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,2026-03-31T21:15:00+00:00,2026-07-07T15:00:00+00:00,3,mark_superseded,45470
a,A2609,15m,45470,rq_acb_a_A2609_15m_20260617_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260617_20260707.parquet,2026-06-16T21:15:00+00:00,2026-07-07T15:00:00+00:00,3,keep_primary,45470
a,A2609,1d,33603,rqdata_actual_contract_bars_a_A2609_1d_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260401_20260707.parquet,2026-04-01T15:00:00+00:00,2026-07-07T15:00:00+00:00,3,mark_superseded,33873
a,A2609,1d,33873,rq_acb_a_A2609_1d_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260401_20260707.parquet,2026-04-01T15:00:00+00:00,2026-07-07T15:00:00+00:00,3,keep_primary,33873
a,A2609,1d,41298,rq_acb_a_A2609_1d_20260617_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260617_20260707.parquet,2026-06-17T00:00:00+00:00,2026-07-07T00:00:00+00:00,3,mark_superseded,33873
a,A2609,1m,33598,rqdata_actual_contract_bars_a_A2609_1m_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2609/A2609_1m_20260401_20260707.parquet,2026-03-31T21:01:00+00:00,2026-07-07T15:00:00+00:00,3,mark_superseded,45468
