residual_scope,product,contract_role,contract,period,physical_path,quality_status,reason,recommended_next_task
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20131206_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,b,dominant_main,b.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1d_20041222_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,fb,dominant_main,fb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1d_20131206_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,fb,dominant_main,fb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1d_20131118_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20131118_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,pm,dominant_main,pm.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1d_20120117_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,pm,dominant_main,pm.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,pm,dominant_main,pm.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1w_20120117_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,pm,dominant_main,pm.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,pm,dominant_main,pm.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1101,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1101/P1101_1m_20100428_20100913.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1105,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1105/P1105_1m_20100914_20101104.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1109,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1109/P1109_1m_20101105_20110411.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1201,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1201/P1201_1m_20110412_20110719.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1205,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1205/P1205_1m_20110720_20120118.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1209,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1209/P1209_1m_20120119_20120606.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1301,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1301/P1301_1m_20120607_20121024.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1305,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1305/P1305_1m_20121025_20130208.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1309,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1309/P1309_1m_20130218_20130614.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
