product,metadata_type,applicability,status,reason,evidence_start,evidence_end,period,residual_scope,recommended_next_task
lh,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lh,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lu,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
m,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
m,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
m,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
m,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
m,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ma,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ma,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ma,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ma,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ma,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ni,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ni,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ni,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ni,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ni,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
nr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
nr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
nr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
nr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
nr,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
oi,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
oi,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
oi,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
oi,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
oi,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
op,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
op,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
op,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
op,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
op,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
p,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
p,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2007-10-29,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
p,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
p,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
p,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2011-03-24,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2011-03-24,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pb,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pd,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pd,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pd,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pd,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pd,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pf,contract_universe,applicable,unverified,blocked_by_trading_calendar,2020-10-12,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pf,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2020-10-12,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pf,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pf,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2020-10-12,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pf,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2020-03-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2020-03-30,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2020-03-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pg,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pk,contract_universe,applicable,unverified,blocked_by_trading_calendar,2021-02-01,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pk,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2021-02-01,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pk,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pk,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2021-02-01,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pk,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pl,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-07-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pl,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-07-22,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pl,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pl,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-07-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pl,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pm,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-01-17,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pm,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-01-17,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pm,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pm,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-01-17,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pm,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pp,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-02-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-02-28,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pp,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-02-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pp_f,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp_f,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp_f,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pp_f,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pp_f,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2024-08-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2024-08-30,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2024-08-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pr,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ps,contract_universe,applicable,unverified,blocked_by_trading_calendar,2024-12-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ps,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2024-12-26,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ps,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ps,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2024-12-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ps,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pt,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pt,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pt,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
pt,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
pt,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
px,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
px,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
px,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
px,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
px,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2009-03-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rb,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ri,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-07-24,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ri,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-07-24,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ri,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ri,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-07-24,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ri,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rm,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rm,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rm,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rm,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rm,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-08-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-08-16,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-08-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rr,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rs,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rs,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rs,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
rs,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-12-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
rs,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ru,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ru,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ru,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ru,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ru,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sa,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sa,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-12-06,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sa,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sa,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sa,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2018-03-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2018-03-26,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2018-03-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sc,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sf,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sf,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sf,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sf,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sf,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sh,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sh,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sh,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sh,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-09-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sh,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
si,contract_universe,applicable,unverified,blocked_by_trading_calendar,2022-12-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
si,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2022-12-22,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
si,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
si,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2022-12-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
si,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sm,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sm,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sm,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sm,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-08-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sm,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sn,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sn,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sn,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sn,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sn,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sp,contract_universe,applicable,unverified,blocked_by_trading_calendar,2018-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sp,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2018-11-27,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sp,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sp,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2018-11-27,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sp,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2006-01-06,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
sr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2009-03-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
sr,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ss,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-09-25,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ss,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-09-25,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ss,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ss,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-09-25,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ss,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
t,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-03-20,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
t,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-03-20,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
t,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
t,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-03-20,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
t,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ta,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ta,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2006-12-18,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ta,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ta,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2009-08-17,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ta,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
tf,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-09-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
tf,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-09-06,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
tf,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
tf,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-09-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
