residual_scope,product,contract_role,contract,period,source_role,physical_path,status,reason,expected_start,expected_end,observed_start,observed_end,checksum_status,recommended_next_task
expected_coverage,cf,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cj,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2019-04-30,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cj,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2019-04-30,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cj,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2019-04-30,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cj,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2019-04-30,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cs,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2014-12-19,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cs,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2014-12-19,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cs,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2014-12-19,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cs,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2014-12-19,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cu,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cu,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cu,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cu,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cy,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2017-08-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cy,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2017-08-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cy,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2017-08-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,cy,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2017-08-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eb,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2019-09-26,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eb,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2019-09-26,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eb,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2019-09-26,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eb,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2019-09-26,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eg,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2018-12-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eg,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2018-12-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eg,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2018-12-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,eg,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2018-12-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fb,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2013-12-06,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fb,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2013-12-06,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fb,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2013-12-06,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fb,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2013-12-06,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fg,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-12-03,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fg,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-12-03,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fg,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-12-03,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fg,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2012-12-03,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fu,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fu,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fu,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,fu,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,hc,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2014-03-21,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,hc,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2014-03-21,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,hc,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2014-03-21,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,hc,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2014-03-21,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,i,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2013-10-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,i,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2013-10-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,i,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2013-10-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
