classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,error_type,error_message
needs_contract_universe_sync,contract_universe,futures_contract_universe,a,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ag,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,al,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ap,2022,2022-01-01,2022-12-31,False,False,False,0,success,1694,1694,1694,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,au,2022,2022-01-01,2022-12-31,False,False,False,0,success,1936,1936,1936,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,b,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,bb,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,bc,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,bu,2022,2022-01-01,2022-12-31,False,False,False,0,success,3688,3688,3688,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,c,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,cf,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,cj,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,cs,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,cu,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,cy,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,eb,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,eg,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,fb,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,fg,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,fu,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,hc,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,i,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ic,2022,2022-01-01,2022-12-31,False,False,False,0,success,968,968,968,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,if,2022,2022-01-01,2022-12-31,False,False,False,0,success,968,968,968,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ih,2022,2022-01-01,2022-12-31,False,False,False,0,success,968,968,968,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,im,2022,2022-01-01,2022-12-31,False,False,False,0,success,440,440,440,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,j,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,jd,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,jm,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,jr,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,l,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,lh,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,lu,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,m,2022,2022-01-01,2022-12-31,False,False,False,0,success,1936,1936,1936,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ma,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ni,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,nr,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,oi,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,p,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pb,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pf,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pg,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pk,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pm,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pp,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rb,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ri,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rm,2022,2022-01-01,2022-12-31,False,False,False,0,success,1694,1694,1694,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rr,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rs,2022,2022-01-01,2022-12-31,False,False,False,0,success,968,968,968,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ru,2022,2022-01-01,2022-12-31,False,False,False,0,success,2420,2420,2420,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sa,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sc,2022,2022-01-01,2022-12-31,False,False,False,0,success,4840,4840,4840,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sf,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,si,2022,2022-01-01,2022-12-31,False,False,False,0,success,35,35,35,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sm,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sn,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sp,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sr,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ss,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,t,2022,2022-01-01,2022-12-31,False,False,False,0,success,726,726,726,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ta,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,tf,2022,2022-01-01,2022-12-31,False,False,False,0,success,726,726,726,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ts,2022,2022-01-01,2022-12-31,False,False,False,0,success,726,726,726,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ur,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,v,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,wh,2022,2022-01-01,2022-12-31,False,False,False,0,success,1452,1452,1452,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,wr,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,y,2022,2022-01-01,2022-12-31,False,False,False,0,success,1936,1936,1936,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,zc,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,zn,2022,2022-01-01,2022-12-31,False,False,False,0,success,2904,2904,2904,,
