register_id,source,scope,hard_gate,profile_id,product,contract,period,reason,status,evidence
1c0332e425ded2b3e39e,B2-08A,profile_candidate,false,intraday_research_v1,au,au.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
a0b1adb77abd43a67a46,B2-08A,profile_candidate,false,intraday_research_v1,au,au.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
222bf6e6c8b3e6565db5,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
8b476ca838a4c6c365c2,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
d41c13eadbf760891916,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,1d,quality_policy_violation,blocked_not_applied,rulebook
44b67d4d4f5a1611b266,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
f7612ad19c77d83bed87,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
c5044ccaf438ccacd33f,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
e04fcf2e57453e3928a0,B2-08A,profile_candidate,false,intraday_research_v1,b,b.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
e459ed566cba9613b563,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
f104c49c505677e8c5fe,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,1d,quality_policy_violation,blocked_not_applied,rulebook
c36454c802dc3994d3f8,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,1d,quality_policy_violation,blocked_not_applied,rulebook
9ca9c9afd6683ecb7757,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
b0b6477bb916edf031c1,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
de33882e35248718158a,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
886ab60de073c256f004,B2-08A,profile_candidate,false,intraday_research_v1,bb,bb.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
f38f500dce2037c4630d,B2-08A,profile_candidate,false,intraday_research_v1,bc,bc.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
a2bf3aa7b0b39a73dc7d,B2-08A,profile_candidate,false,intraday_research_v1,bc,bc.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
1d076dbb030772a43d9a,B2-08A,profile_candidate,false,intraday_research_v1,bc,bc.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
