gate_id,layer,requirement,status,observed,evidence,note
P10,profile_binding,each Profile identity has at most one active binding,PASS,"{""active_rows_in_scope"": 4286, ""duplicate_active_groups"": 0}",direct_postgresql:91955:91955:,
P11,profile_target,every frozen current candidate covers target and matches direct DB active binding,PASS,"{""checksum_rows"": 265, ""current_candidates"": 265, ""db_mismatches"": 0, ""final_matrix_rows"": 265}",data/reports/full_history_audit_v2_20260710/profile_rollout_008a/binding_candidates.csv; data/reports/full_history_audit_v2_20260710/profile_rollout_008b; direct_postgresql:91955:91955:,
P12,rollback,rollback rehearsal passed,PASS,"{""all_committed_rolled_back"": true, ""rollback_rows"": 16}",data/reports/full_history_audit_v2_20260710/profile_rollout_008b/rollback_ledger.csv,
P13,frozen_reference,report_id=14 remains frozen,PASS,"{""changed_by_rollout"": false, ""current_md5"": ""f8710480d6cc3da979ca6804436b0a37"", ""expected_md5"": ""f8710480d6cc3da979ca6804436b0a37""}",data/reports/full_history_audit_v2_20260710/profile_rollout_008b/batch_evidence.json; direct_postgresql:91955:91955:,
P14,historical_live_boundary,historical bindings contain no live or disallowed provider assets,PASS,"{""boundary_violations"": 0, ""calls_rqdata_during_acceptance"": false, ""live_table_digests_unchanged_in_rollout"": true, ""superseded_active_formally_blocked"": 392, ""superseded_live_only_excluded"": 3, ""unexplained_superseded_active"": 0}",data/reports/full_history_audit_v2_20260710/profile_rollout_008b/batch_evidence.json; direct_postgresql:91955:91955:,
