period,data_version,path,row_count,checksum,min_datetime,max_datetime,diagnostics
5m,signal_review_lineage_003_jm_JM2609_5m_20260708_20260710_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_5m_20260708_20260710_signal_review_lineage_003.parquet,207,7c326f53bd339e7f0c73cfa62b8e1d6f45ce1ed1069b40c311f0d4b4e7bbcf15,2026-07-07T21:05:00,2026-07-10T15:00:00,"{""source_gap_count"": 0, ""incomplete_bucket_count"": 0, ""excluded_partial_bucket_count"": 0, ""unmatched_source_row_count"": 0}"
15m,signal_review_lineage_003_jm_JM2609_15m_20260708_20260710_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_15m_20260708_20260710_signal_review_lineage_003.parquet,69,66ca1ca8aad898c21f5d92b3171634a9410cb3af96e9414591a2382ea1920c15,2026-07-07T21:15:00,2026-07-10T15:00:00,"{""source_gap_count"": 0, ""incomplete_bucket_count"": 0, ""excluded_partial_bucket_count"": 0, ""unmatched_source_row_count"": 0}"
