candidate_id,product,period,contract,standard_path,db_market_data_file_id,before_checksum,after_checksum,before_file_size,after_file_size,before_row_count,after_row_count,before_min_datetime,after_min_datetime,before_max_datetime,after_max_datetime,manifest_updates,processed_summary_updates,db_updates,writes_parquet,writes_manifest,writes_processed_summary,writes_database,applied,skipped,skip_reason,blocked_reason,error_message,backup_paths
source_interval_0001,ic,15m,ic.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,41045,db43a8f645534984705f61fe118487fd06a62f80360c501d756e37c97c14a918,ecdec8c0ef54209eaf0f090397b160dffad0fd96c53898df5e29d51ef06f2b68,595170,595441,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0001/01_ic_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ic_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0001/02_rqdata_ic_v2_history_20230103_20260707.csv
source_interval_0002,if,15m,if.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,41051,c94cae2423c2cbabed99894556e58c470c8f3db80b3519499c279fdf2e0d8a8f,ed4a042f6c16a51885b904dc7fb2190e6a7d0723ce89dc9730e06c5cdae5d2b8,555874,556145,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0002/01_if_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_if_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0002/02_rqdata_if_v2_history_20230103_20260707.csv
source_interval_0003,ih,15m,ih.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,41057,efe48395361c02804a7aca4b0cde228e9b2457176edc093ee53183a4077d8c97,ceb88ee71f629e315812a0c01bf57432cc80976ca20b6295a9e3956ef58fc54e,507058,507329,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0003/01_ih_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ih_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0003/02_rqdata_ih_v2_history_20230103_20260707.csv
source_interval_0004,im,15m,im.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,41063,efda96002d4317ea0ef60fb9349d78375e33a94c62974b884e9f08bc8c4cb2d4,f9a1359275a1b7892db31b0a5ff059c5cfa014acb5e21fc5a484c58f096d3312,616443,616714,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0004/01_im_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_im_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0004/02_rqdata_im_v2_history_20230103_20260707.csv
source_interval_0005,ap,15m,ap.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,40914,a56fbf5dd7754e503ae459f68cac9f290c3e7040cd257221063a08d33e3d72e3,33ab378e80050bcd42006738edc7ac67ae13d6ab0e2626d750be94f704f7402d,487462,487733,12720,12720,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0005/01_ap_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ap_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_pilot_20260712/backups/source_interval_0005/02_rqdata_ap_v2_history_20230103_20260707.csv
