product,contract,week_end,issue,pre_first_owner,fields,details
OI,OI2611,2026-04-17,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-17"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-24,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-24"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-30,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-30"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 4, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-08,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-08"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 3, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-15,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-15"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-22,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-22"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-29,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-29"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-05,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-05"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-12,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-12"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-18,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-18"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 4, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-26,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-26"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-07-03,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-07-03"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-07-10,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-07-10"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-07-17,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-07-17"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-07-24,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-07-24"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-07-31,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-07-31"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-08-07,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-08-07"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-08-14,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-08-14"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
PF,PF2302,2022-03-04,STRICT_NO_TRADE_AGGREGATION,True,"open,low","{""week_end"": ""2022-03-04"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low""], ""strict_no_trade_days"": [""2022-02-28"", ""2022-03-01"", ""2022-03-03""], ""stored"": {""open"": ""0E-18"", ""high"": ""7970.000000000000000000"", ""low"": ""0E-18"", ""close"": ""7866.000000000000000000"", ""volume"": ""951.000000000000000000"", ""turnover"": ""37439400.000000000000000000"", ""open_interest"": ""951.000000000000000000""}, ""expected"": {""open"": ""7970.000000000000000000"", ""high"": ""7970.000000000000000000"", ""low"": ""7866.000000000000000000"", ""close"": ""7866.000000000000000000"", ""volume"": ""951.000000000000000000"", ""turnover"": ""37439400.000000000000000000"", ""open_interest"": ""951.000000000000000000""}}"
PF,PF2302,2022-03-11,STRICT_NO_TRADE_AGGREGATION,True,"low,close","{""week_end"": ""2022-03-11"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low"", ""close""], ""strict_no_trade_days"": [""2022-03-09"", ""2022-03-10"", ""2022-03-11""], ""stored"": {""open"": ""8060.000000000000000000"", ""high"": ""8060.000000000000000000"", ""low"": ""0E-18"", ""close"": ""0E-18"", ""volume"": ""2.000000000000000000"", ""turnover"": ""79800.000000000000000000"", ""open_interest"": ""950.000000000000000000""}, ""expected"": {""open"": ""8060.000000000000000000"", ""high"": ""8060.000000000000000000"", ""low"": ""7900.000000000000000000"", ""close"": ""7900.000000000000000000"", ""volume"": ""2.000000000000000000"", ""turnover"": ""79800.000000000000000000"", ""open_interest"": ""950.000000000000000000""}}"
PF,PF2302,2022-03-18,STRICT_NO_TRADE_AGGREGATION,True,"open,low,close","{""week_end"": ""2022-03-18"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low"", ""close""], ""strict_no_trade_days"": [""2022-03-14"", ""2022-03-17"", ""2022-03-18""], ""stored"": {""open"": ""0E-18"", ""high"": ""7632.000000000000000000"", ""low"": ""0E-18"", ""close"": ""0E-18"", ""volume"": ""3.000000000000000000"", ""turnover"": ""113000.000000000000000000"", ""open_interest"": ""951.000000000000000000""}, ""expected"": {""open"": ""7520.000000000000000000"", ""high"": ""7632.000000000000000000"", ""low"": ""7450.000000000000000000"", ""close"": ""7632.000000000000000000"", ""volume"": ""3.000000000000000000"", ""turnover"": ""113000.000000000000000000"", ""open_interest"": ""951.000000000000000000""}}"
