contract_code,data_version,end_date,operation,output_path,period,product,source_path,source_sha256,start_date
JM2609,actual_dominant_roll_006_JM2609_1d_20260708_20260710_v1,2026-07-10,local_rebuild_and_promote,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1d_20260708_20260710_actual_roll_006_v1.parquet,1d,jm,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=jm/frequency=1d/version=v2/jm_1d_incremental_raw_20260705_20260711.parquet,503f24ba9dc92e0a4596e39a372bd0cfc9f3d97372a4099a8f005da766ed67e8,2026-07-08
JM2609,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,2026-07-10,local_rebuild_and_promote,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1m_20260708_20260710_actual_roll_006_v1.parquet,1m,jm,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=jm/frequency=1m/version=v2/jm_1m_incremental_raw_20260707_20260711.parquet,b5d5fa19b20d30e314c701cd3bc4adde35f2912f08c7330f695938d6633fa978,2026-07-08
