product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
lg,2024-11-18,False,not_applicable,3,3,True,85,85,2024-11-22 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
lh,2021-01-08,False,not_applicable,6,6,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
lu,2020-06-22,False,not_applicable,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
m,2000-07-17,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ma,2014-06-17,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ni,2015-03-27,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
nr,2019-08-12,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
oi,2012-07-16,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
op,2025-09-10,False,not_applicable,2,2,True,43,43,2025-09-12 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
p,2007-10-29,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pb,2011-03-24,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pd,2025-11-27,False,not_applicable,2,2,True,32,32,2025-11-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pf,2020-10-12,False,not_applicable,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pg,2020-03-30,False,not_applicable,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pk,2021-02-01,False,not_applicable,6,6,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pl,2025-07-22,False,not_applicable,2,2,True,50,50,2025-07-25 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pm,2012-01-17,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pp,2014-02-28,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pp_f,2025-10-29,False,not_applicable,2,2,True,36,36,2025-10-31 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pr,2024-08-30,False,not_applicable,3,3,True,97,97,2024-08-30 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
ps,2024-12-26,False,not_applicable,3,3,True,80,80,2024-12-27 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pt,2025-11-27,False,not_applicable,2,2,True,32,32,2025-11-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
px,2023-09-15,False,not_applicable,4,4,True,145,145,2023-09-15 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
rb,2009-03-27,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ri,2012-07-24,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
rm,2012-12-28,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
rr,2019-08-16,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
rs,2012-12-28,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ru,1999-01-04,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sa,2019-12-06,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sc,2018-03-26,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sf,2014-08-08,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sh,2023-09-15,False,not_applicable,4,4,True,145,145,2023-09-15 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
si,2022-12-22,False,not_applicable,5,5,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
sm,2014-08-08,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sn,2015-03-27,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sp,2018-11-27,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
sr,2006-01-06,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ss,2019-09-25,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
t,2015-03-20,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
