product,contract_role,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,issue_class,disposition
a,actual_contract,A2601,15m,45452,rq_acb_a_A2601_15m_20251013_20251218_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2601/A2601_15m_20251013_20251218.parquet,2025-10-10T21:15:00+00:00,2025-12-18T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2605,15m,45458,rq_acb_a_A2605_15m_20251219_20260410_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2605/A2605_15m_20251219_20260410.parquet,2025-12-18T21:15:00+00:00,2026-04-10T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2607,15m,45464,rq_acb_a_A2607_15m_20260413_20260616_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2607/A2607_15m_20260413_20260616.parquet,2026-04-10T21:15:00+00:00,2026-06-16T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2609,15m,45470,rq_acb_a_A2609_15m_20260617_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260617_20260707.parquet,2026-06-16T21:15:00+00:00,2026-07-07T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2609,1d,33603,rqdata_actual_contract_bars_a_A2609_1d_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260401_20260707.parquet,2026-04-01T15:00:00+00:00,2026-07-07T15:00:00+00:00,33,duplicate_active,requires_supersede_decision
a,actual_contract,A2609,1d,33873,rq_acb_a_A2609_1d_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260401_20260707.parquet,2026-04-01T15:00:00+00:00,2026-07-07T15:00:00+00:00,33,duplicate_active,requires_supersede_decision
a,actual_contract,A2305,1d,41264,rq_acb_a_A2305_1d_20230103_20230406_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20230103_20230406.parquet,2023-01-03T00:00:00+00:00,2023-04-06T00:00:00+00:00,33,duplicate_active,requires_supersede_decision
a,actual_contract,A2307,1d,41266,rq_acb_a_A2307_1d_20230407_20230612_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2307/A2307_1d_20230407_20230612.parquet,2023-04-07T00:00:00+00:00,2023-06-12T00:00:00+00:00,33,duplicate_active,requires_supersede_decision
a,actual_contract,A2309,1d,41268,rq_acb_a_A2309_1d_20230613_20230816_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2309/A2309_1d_20230613_20230816.parquet,2023-06-13T00:00:00+00:00,2023-08-16T00:00:00+00:00,33,duplicate_active,requires_supersede_decision
a,actual_contract,A2311,1d,41270,rq_acb_a_A2311_1d_20230817_20231017_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2311/A2311_1d_20230817_20231017.parquet,2023-08-17T00:00:00+00:00,2023-10-17T00:00:00+00:00,33,duplicate_active,requires_supersede_decision
