product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end,estimated_bars,estimated_mb
rb,2009-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11,651360,186.36
ri,2012-07-24,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-07-24,2019-12-31,2012-07-24,2026-07-11,450000,128.75
rm,2012-12-28,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-12-28,2019-12-31,2012-12-28,2026-07-11,423840,121.26
rr,2019-08-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-08-16,2019-12-31,2019-08-16,2026-07-11,22560,6.45
rs,2012-12-28,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-12-28,2019-12-31,2012-12-28,2026-07-11,423840,121.26
ru,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
sa,2019-12-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-12-06,2019-12-31,2019-12-06,2026-07-11,4080,1.17
sc,2018-03-26,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2018-03-26,2019-12-31,2018-03-26,2026-07-11,106800,30.56
sf,2014-08-08,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-08-08,2019-12-31,2014-08-08,2026-07-11,326400,93.38
sm,2014-08-08,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-08-08,2019-12-31,2014-08-08,2026-07-11,326400,93.38
sn,2015-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-03-27,2019-12-31,2015-03-27,2026-07-11,288240,82.47
sp,2018-11-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2018-11-27,2019-12-31,2018-11-27,2026-07-11,66000,18.88
sr,2006-01-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-01-06,2019-12-31,2006-01-06,2026-07-11,846000,242.04
ss,2019-09-25,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-09-25,2019-12-31,2019-09-25,2026-07-11,15840,4.53
t,2015-03-20,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-03-20,2019-12-31,2015-03-20,2026-07-11,289440,82.81
ta,2006-12-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-12-18,2019-12-31,2006-12-18,2026-07-11,788880,225.7
tf,2013-09-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-09-06,2019-12-31,2013-09-06,2026-07-11,382080,109.31
ts,2018-08-17,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2018-08-17,2019-12-31,2018-08-17,2026-07-11,82800,23.69
ur,2019-08-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-08-09,2019-12-31,2019-08-09,2026-07-11,23760,6.8
v,2009-05-25,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-05-25,2019-12-31,2009-05-25,2026-07-11,641520,183.54
wh,2012-07-24,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-07-24,2019-12-31,2012-07-24,2026-07-11,450000,128.75
wr,2009-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11,651360,186.36
y,2006-01-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-01-09,2019-12-31,2006-01-09,2026-07-11,845520,241.91
zc,2015-05-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-05-18,2019-12-31,2015-05-18,2026-07-11,279600,79.99
zn,2007-03-26,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-03-26,2019-12-31,2007-03-26,2026-07-11,772560,221.03
