product,metadata_type,applicability,status,reason,evidence_start,evidence_end
br,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
bu,asset_registration,applicable,passed,registered_contract_listing,2013-10-09,2026-07-10
bu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
bu,contract_universe,applicable,passed,contract_universe_present,2013-10-09,2026-07-10
bu,main_contract_map,applicable,passed,rank1_mapping_present,2013-10-09,2026-07-07
bu,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
bu,trading_parameter,applicable,passed,trading_parameters_present,2013-10-09,2026-07-10
bu,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
bz,asset_registration,applicable,passed,registered_contract_listing,2025-07-08,2026-07-10
bz,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-07-08,2026-07-07
bz,contract_universe,applicable,passed,contract_universe_present,2025-07-08,2026-07-10
bz,main_contract_map,applicable,passed,rank1_mapping_present,2025-07-08,2026-07-07
bz,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
bz,trading_parameter,applicable,passed,trading_parameters_present,2025-07-08,2026-07-10
bz,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
c,asset_registration,applicable,passed,registered_contract_listing,2004-09-22,2026-07-10
c,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
c,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
c,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
c,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
c,trading_parameter,applicable,passed,trading_parameters_present,2008-01-16,2026-07-10
c,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
cf,asset_registration,applicable,passed,registered_contract_listing,2004-06-01,2026-07-10
cf,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cf,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
cf,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-06-24
cf,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
cf,trading_parameter,applicable,passed,trading_parameters_present,2009-09-15,2026-07-10
cf,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
cj,asset_registration,applicable,passed,registered_contract_listing,2019-04-30,2026-07-10
cj,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cj,contract_universe,applicable,passed,contract_universe_present,2019-04-30,2026-07-10
cj,main_contract_map,applicable,passed,rank1_mapping_present,2019-04-30,2026-06-24
cj,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
cj,trading_parameter,applicable,passed,trading_parameters_present,2019-04-30,2026-07-10
cj,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
cs,asset_registration,applicable,passed,registered_contract_listing,2014-12-19,2026-07-10
cs,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cs,contract_universe,applicable,passed,contract_universe_present,2014-12-19,2026-07-10
cs,main_contract_map,applicable,passed,rank1_mapping_present,2014-12-19,2026-07-07
cs,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
cs,trading_parameter,applicable,passed,trading_parameters_present,2014-12-19,2026-07-10
cs,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
cu,asset_registration,applicable,passed,registered_contract_listing,1999-01-04,2026-07-10
cu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cu,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
cu,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
cu,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
cu,trading_parameter,applicable,passed,trading_parameters_present,2012-10-16,2026-07-10
cu,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
