product,contract_role,symbol_or_contract,period,start_date,end_date,evidence_source,provider,data_role,quality_status,manifest_status,manifest_or_db_row_count,db_market_data_file_id,data_quality_report_status,physical_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,duckdb_error,checksum_status,row_count_status
a,actual_contract,A2005,1d,2020-01-02,2020-04-07,"db_market_data_file,manifest",rqdata,primary,passed,success,62,66731.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2005/A2005_1d_20200102_20200407.parquet,True,62.0,2020-01-02T00:00:00,2020-04-07T00:00:00,,checksum_unverified,matched
a,actual_contract,A2005,1w,2020-01-10,2020-04-03,"db_market_data_file,manifest",rqdata,primary,passed,success,12,66733.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20200102_20200407.parquet,True,12.0,2020-01-10T00:00:00,2020-04-03T00:00:00,,checksum_unverified,matched
a,actual_contract,A2009,1d,2020-04-08,2020-08-18,"db_market_data_file,manifest",rqdata,primary,passed,success,90,66735.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2009/A2009_1d_20200408_20200818.parquet,True,90.0,2020-04-08T00:00:00,2020-08-18T00:00:00,,checksum_unverified,matched
a,actual_contract,A2009,1w,2020-04-17,2020-08-14,"db_market_data_file,manifest",rqdata,primary,passed,success,18,66737.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2009/A2009_1w_20200408_20200818.parquet,True,18.0,2020-04-17T00:00:00,2020-08-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2101,1d,2020-08-19,2020-12-14,"db_market_data_file,manifest",rqdata,primary,passed,success,78,66739.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2101/A2101_1d_20200819_20201214.parquet,True,78.0,2020-08-19T00:00:00,2020-12-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2101,1w,2020-08-28,2020-12-11,"db_market_data_file,manifest",rqdata,primary,passed,success,16,66741.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2101/A2101_1w_20200819_20201214.parquet,True,16.0,2020-08-28T00:00:00,2020-12-11T00:00:00,,checksum_unverified,matched
a,actual_contract,A2105,1d,2020-12-15,2021-04-20,"db_market_data_file,manifest",rqdata,primary,passed,success,84,66743.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2105/A2105_1d_20201215_20210420.parquet,True,84.0,2020-12-15T00:00:00,2021-04-20T00:00:00,,checksum_unverified,matched
a,actual_contract,A2105,1w,2020-12-25,2021-04-16,"db_market_data_file,manifest",rqdata,primary,passed,success,17,66745.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2105/A2105_1w_20201215_20210420.parquet,True,17.0,2020-12-25T00:00:00,2021-04-16T00:00:00,,checksum_unverified,matched
a,actual_contract,A2109,1d,2021-04-21,2021-07-28,"db_market_data_file,manifest",rqdata,primary,passed,success,67,66747.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2109/A2109_1d_20210421_20210728.parquet,True,67.0,2021-04-21T00:00:00,2021-07-28T00:00:00,,checksum_unverified,matched
a,actual_contract,A2109,1w,2021-04-30,2021-07-23,"db_market_data_file,manifest",rqdata,primary,passed,success,13,66749.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2109/A2109_1w_20210421_20210728.parquet,True,13.0,2021-04-30T00:00:00,2021-07-23T00:00:00,,checksum_unverified,matched
a,actual_contract,A2111,1d,2021-07-29,2021-10-14,"db_market_data_file,manifest",rqdata,primary,passed,success,49,66751.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2111/A2111_1d_20210729_20211014.parquet,True,49.0,2021-07-29T00:00:00,2021-10-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2111,1w,2021-08-06,2021-10-08,"db_market_data_file,manifest",rqdata,primary,passed,success,10,66753.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2111/A2111_1w_20210729_20211014.parquet,True,10.0,2021-08-06T00:00:00,2021-10-08T00:00:00,,checksum_unverified,matched
a,actual_contract,A2201,1d,2021-10-15,2021-12-01,"db_market_data_file,manifest",rqdata,primary,passed,success,34,66755.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2201/A2201_1d_20211015_20211201.parquet,True,34.0,2021-10-15T00:00:00,2021-12-01T00:00:00,,checksum_unverified,matched
a,actual_contract,A2201,1w,2021-10-22,2021-11-26,"db_market_data_file,manifest",rqdata,primary,passed,success,6,66757.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2201/A2201_1w_20211015_20211201.parquet,True,6.0,2021-10-22T00:00:00,2021-11-26T00:00:00,,checksum_unverified,matched
a,actual_contract,A2203,1d,2021-12-02,2022-02-17,"db_market_data_file,manifest",rqdata,primary,passed,success,50,66759.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2203/A2203_1d_20211202_20220217.parquet,True,50.0,2021-12-02T00:00:00,2022-02-17T00:00:00,,checksum_unverified,matched
a,actual_contract,A2203,1w,2021-12-10,2022-02-11,"db_market_data_file,manifest",rqdata,primary,passed,success,9,66761.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2203/A2203_1w_20211202_20220217.parquet,True,9.0,2021-12-10T00:00:00,2022-02-11T00:00:00,,checksum_unverified,matched
a,actual_contract,A2207,1d,2022-02-18,2022-06-15,"db_market_data_file,manifest",rqdata,primary,passed,success,78,66763.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2207/A2207_1d_20220218_20220615.parquet,True,78.0,2022-02-18T00:00:00,2022-06-15T00:00:00,,checksum_unverified,matched
a,actual_contract,A2207,1w,2022-02-25,2022-06-10,"db_market_data_file,manifest",rqdata,primary,passed,success,16,66765.0,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2207/A2207_1w_20220218_20220615.parquet,True,16.0,2022-02-25T00:00:00,2022-06-10T00:00:00,,checksum_unverified,matched
